"name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365","number_of_reviews_ltm","license"
"The Heart of Chic Eastside/Near UT & Downtown",1763086,"Debbie",null,78702,30.27119,-97.72965,"Entire home/apt",241,2,70,"2021-09-27",2.3,1,130,5,null
"for formula one only...",1763742,"Amber",null,78704,30.25152,-97.76212,"Entire home/apt",643,5,1,"2012-03-18",0.01,1,0,0,null
"""Eastside Cabana - Near UT,Downtown""",1975748,"Meredith",null,78702,30.27871,-97.72332,"Entire home/apt",137,1,686,"2021-09-27",25.01,5,326,81,null
"Central Austin (Tarrytown) Bed and Bath",1771402,"Cindie",null,78703,30.29932,-97.77631,"Private room",78,1,62,"2021-10-03",1.42,2,110,17,null
"French country charming room/bath",1782559,"Julie",null,78754,30.33345,-97.64937,"Private room",75,1,0,null,null,1,0,0,null
"Monthly Rental Guest House /Apartment  in SoCo",1788349,"Jeannie",null,78704,30.2398,-97.74525,"Entire home/apt",58,29,6,"2020-06-30",0.26,2,197,0,null
"4/3.5 SoCo Bungalow",1789494,"Lara",null,78704,30.24276,-97.75211,"Entire home/apt",613,3,170,"2021-09-26",2.51,1,199,26,null
"SXSW Luxury 2 Bedroom appt!",1792021,"Mykel",null,78746,30.34574,-97.80069,"Entire home/apt",225,3,1,"2012-03-15",0.01,1,0,0,null
"Colorful Artsy and Unusual Guesthouse in Bouldin Creek",1752493,"Gigi",null,78704,30.24821,-97.76343,"Entire home/apt",154,3,333,"2021-09-19",2.85,3,340,32,null
"SXSW-Historic Home luxury-Central East Downtown",1795232,"Sara",null,78702,30.25884,-97.73056,"Entire home/apt",630,3,5,"2017-03-15",0.05,1,0,0,null
"Ultimate casually elegant retreat",2049988,"Mike",null,78703,30.28885,-97.76001,"Entire home/apt",248,3,11,"2017-07-05",0.12,1,0,0,null
"Private South Austin Guest House",1798140,"Scott",null,78745,30.22187,-97.7747,"Entire home/apt",110,30,21,"2021-05-02",0.19,1,28,3,null
"Great SXSW Location. 3br/2baths",1798084,"Jeffrey",null,78704,30.24748,-97.74724,"Entire home/apt",1000,1,3,"2017-03-19",0.03,1,362,0,null
"SXSW - musician's home",1798834,"Joan",null,78704,30.23928,-97.77907,"Entire home/apt",100,1,0,null,null,1,0,0,null
"""Clean, Cute & Central-Clarksville!""",1801114,"An",null,78703,30.28097,-97.75393,"Entire home/apt",97,7,13,"2021-06-30",0.19,1,0,1,null
"Midcentury Modern in Central Austin",1805253,"Trey",null,78703,30.3054,-97.76974,"Entire home/apt",1050,30,2,"2013-06-01",0.02,1,0,0,null
"Cozy and Modern Home",1805524,"Jai",null,78723,30.30571,-97.69464,"Entire home/apt",300,2,1,"2012-11-20",0.01,1,0,0,null
"Upscale 3 story Downtown Townhouse",1806205,"Varun",null,78701,30.28184,-97.74276,"Entire home/apt",442,2,20,"2021-09-19",0.21,3,337,11,null
"Zilker Home close to everything",1808807,"Renee",null,78704,30.25478,-97.76854,"Entire home/apt",193,3,264,"2021-10-04",3.89,2,153,40,null
"Beautiful  Private Cottage",1812799,"Monica",null,78751,30.3124,-97.72007,"Private room",92,2,180,"2021-10-10",1.76,1,299,2,null
"Entertainers Delight Close to SOCO",1815367,"Kathy",null,78704,30.22971,-97.76695,"Entire home/apt",800,1,0,null,null,1,0,0,null
"SXSW  Bungalow Available 2/1",1831617,"Chris",null,78756,30.31744,-97.74547,"Entire home/apt",625,4,0,null,null,1,365,0,null
"Zilker Festival Suite",213651,"Daniel",null,78704,30.25433,-97.77582,"Entire home/apt",81,2,286,"2021-09-27",2.79,2,48,44,null
"The Big Zilker. Minutes to it all!",1840480,"Scott & Sally",null,78704,30.25795,-97.77202,"Entire home/apt",1452,4,29,"2021-09-28",0.37,11,100,2,null
"Perfect for ACL/SXSW. Walk everywhere!",1839064,"Adriana",null,78703,30.27371,-97.75301,"Entire home/apt",225,5,13,"2019-03-14",0.12,1,0,0,null
"Private romantic getaway 150' above Lake Travis",871765,"Bruce",null,78734,30.39243,-97.92007,"Hotel room",210,2,1,"2017-10-22",0.02,1,363,0,null
"Zilker Treehouse! Best Neighborhood",1840480,"Scott & Sally",null,78704,30.25954,-97.76978,"Entire home/apt",484,4,88,"2021-10-04",2.8,11,231,7,null
"Hip E.Side Downtwn House Walk 2 ALL!",1845598,"D.K.",null,78702,30.25917,-97.73425,"Entire home/apt",429,1,88,"2021-10-11",1.21,1,71,15,null
"New listing! Modern Austin home super close to downtown w/free WiFi/full kitchen",1488733,"Vacasa Texas",null,78751,30.30651,-97.72278,"Entire home/apt",211,1,170,"2021-08-30",2.09,21,350,10,null
