"name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365","number_of_reviews_ltm","license"
"Cool Updated Craftsman Bungalow in Hyde Park.",2862517,"Robert",null,78751,30.31197,-97.72955,"Entire home/apt",298,3,89,"2021-09-18",1.11,2,104,15,null
"The Boho Nest - 10 mins to DT & COTA  3BR/2BTH",3893968,"Scott",null,78744,30.19538,-97.69632,"Entire home/apt",150,3,10,"2021-09-28",7.89,1,220,9,null
"Walk to Zilker Park. Amazing Location! 1 Gigabit",1840480,"Scott & Sally",null,78704,30.25909,-97.77017,"Entire home/apt",278,4,66,"2021-10-04",0.63,11,271,5,null
"Charming Cottage Close to Downtown",3924382,"Phillip",null,78703,30.28026,-97.75703,"Entire home/apt",190,3,99,"2021-10-11",0.95,1,79,10,null
"""3BR/2BA Dwntwn House, AVOID TRAFFIC""",3948329,"James",null,78702,30.2702,-97.72862,"Entire home/apt",600,2,27,"2021-09-19",0.34,1,351,3,null
"""Large Dining Room, Open Floor Plan""",487072,"Greg & Amanda",null,78757,30.36084,-97.72593,"Entire home/apt",550,45,128,"2020-03-11",2.03,14,195,0,null
"Guest house off of S. Congress",3827132,"James",null,78704,30.24539,-97.74624,"Entire home/apt",70,30,26,"2021-03-31",0.72,1,239,1,null
"Luxury urban loft downtown Austin",4005799,"Gabe",null,78701,30.26836,-97.74724,"Entire home/apt",200,14,2,"2021-05-02",0.23,2,253,2,null
"Gorgeous Modern Home in Zilker",11762795,"Mandi",null,78704,30.24852,-97.78277,"Entire home/apt",1000,31,7,"2016-09-06",0.13,1,348,0,null
"""Large Downtown Area Home, Sleeps 10""",1795217,"Stan",null,78703,30.27805,-97.75752,"Entire home/apt",646,2,145,"2021-10-11",1.84,1,288,14,null
"SXSW Central Austin Home",4022974,"Mary K.",null,78703,30.29624,-97.77349,"Entire home/apt",1999,3,1,"2014-03-11",0.01,1,362,0,null
"""F1 FANS  S. Austin, 6 mi to capital""",4033615,"Karen",null,78745,30.21366,-97.81559,"Private room",106,1,0,null,null,1,363,0,null
"The Coffey Grounds:No cleaning fee or extra taxes!",4035868,"Carolyn",null,78756,30.32255,-97.73869,"Entire home/apt",240,1,135,"2020-03-17",2.8,1,152,0,null
"S. Austin Home",4070275,"Daniel",null,78745,30.22437,-97.78495,"Private room",100,1,7,"2017-10-22",0.14,1,0,0,null
"Lovely Bungalow Central/East Austin",1132515,"Rick",null,78722,30.28554,-97.71977,"Entire home/apt",350,3,1,"2013-03-13",0.01,1,255,0,null
"Private Bedroom/Bathroom SE Austin",2438977,"David",null,78741,30.23746,-97.7099,"Private room",265,1,2,"2013-03-18",0.02,1,364,0,null
"Huge house 15mins walk to Downtown",1101753,"John & Tina",null,78704,30.24369,-97.74169,"Entire home/apt",3000,2,59,"2019-08-04",0.56,1,0,0,null
"Bouldin Cottage",4143759,"Katy & Rick",null,78704,30.24784,-97.76318,"Entire home/apt",443,2,77,"2021-10-10",3.27,1,348,15,null
"""Private room in 3 BR condo Austin, TX""",4162906,"Edward \"Jack\"",null,78752,30.32713,-97.68127,"Private room",125,1,0,null,null,1,364,0,null
"Fantastic SOCO Studio",4218754,"Jana",null,78704,30.23457,-97.7615,"Entire home/apt",109,2,140,"2021-10-04",2.06,2,348,23,null
"UNIQUE Downtown/ Prime Location/CLEAN",419707,"Julia",null,78701,30.27485,-97.7486,"Entire home/apt",260,1,7,"2019-04-28",0.19,3,0,0,null
"Cozy Bright Hyde Park Guest House",578211,"Pete",null,78751,30.30263,-97.7293,"Entire home/apt",102,20,52,"2021-02-28",0.51,9,244,1,null
"Sprawling Home with Pool and Hot Tub near Downtown Austin",2762526,"Moya",null,78704,30.2545,-97.77458,"Entire home/apt",1264,3,61,"2021-07-05",0.58,2,293,1,null
"Quiet central Austin 2-bed/2-bath",3922483,"Max",null,78704,30.2402,-97.77623,"Entire home/apt",195,7,35,"2021-10-10",0.8,1,150,2,null
"""Wow-5 BRs, Deck,Grill, Firepit, Near Lakes, Domain""",3584580,"Katherine",null,78726,30.44262,-97.82678,"Entire home/apt",305,3,42,"2021-08-23",1.09,3,130,10,null
"""Cute, cozy room in Barton Hills""",889533,"Sandra",null,78704,30.24565,-97.77877,"Private room",60,1,0,null,null,1,0,0,null
"deco chic 2/1 cottage - zilker/sola",4421865,"Tina",null,78704,30.25222,-97.7704,"Entire home/apt",151,2,185,"2021-10-03",4.23,1,242,8,null
"Prime east-side location",3354999,"Mollie",null,78702,30.26379,-97.72015,"Entire home/apt",225,2,96,"2021-09-12",1.29,1,0,20,null
"Austin Downtown Urban Oasis - 2 br 1 1/2 bath",4506424,"Abigail",null,78701,30.26986,-97.7485,"Entire home/apt",150,30,8,"2021-08-08",0.09,1,279,3,null
"Beautiful Allandale Flat",245617,"Peter",null,78756,30.33229,-97.74462,"Entire home/apt",85,30,4,"2016-03-19",0.14,1,75,0,null
"Zilker cabin and 200 yr Live Oak! Nature! Hike!",2791060,"Neal",null,78704,30.2499,-97.77982,"Entire home/apt",118,30,5,"2021-07-25",0.06,2,187,3,null
"SXSW Haven: Bungalow in the Heart of East Austin",4160337,"Amenity",null,78702,30.27787,-97.71919,"Entire home/apt",500,2,3,"2017-03-16",0.03,1,0,0,null
"Harmony House (1 room w/ 2 beds) Central Austin",582827,"Troy",null,78731,30.32095,-97.75126,"Private room",98,30,168,"2020-03-08",1.61,2,177,0,null
"""Urban Homestead, 5 minutes to downtown""",880571,"Angel",null,78702,30.27188,-97.72466,"Private room",71,2,327,"2021-09-29",10.12,4,67,15,null
"""Modern 1/1 Apt in SOCO, dog & elec car friendly""",4681431,"Susan",null,78704,30.24563,-97.7484,"Entire home/apt",149,2,17,"2021-05-25",0.27,1,75,2,null
"Modern Crash Pad on Holly St.",4725234,"Roman",null,78702,30.25233,-97.72403,"Entire home/apt",155,3,201,"2021-10-06",2.39,2,42,34,null
"Modern S. Austin Garage Apartment",4740421,"Dan & Erin",null,78704,30.24759,-97.77108,"Entire home/apt",140,2,168,"2021-10-11",1.6,1,0,23,null
"Gorgeous Garden St. House near Downtown- Remodeled",4753546,"Paprika",null,78702,30.25264,-97.72013,"Entire home/apt",157,5,49,"2021-09-30",2.32,3,3,3,null
"Tucked Away SoCo Treehouse - 78704",3539325,"Garret",null,78704,30.23419,-97.75288,"Entire home/apt",45,30,50,"2021-09-06",0.48,2,189,1,null
"East Austin House SXSW",3701946,"Kristin",null,78702,30.28209,-97.70628,"Entire home/apt",600,3,6,"2017-03-19",0.14,1,0,0,null
"SXSW House Rental- East Central",4808690,"Leigh",null,78723,30.2917,-97.70521,"Entire home/apt",775,5,0,null,null,1,365,0,null
"Rare Wild West-style compound nr DT",1772568,"David",null,78702,30.25878,-97.7233,"Entire home/apt",793,2,212,"2021-09-26",2.29,2,320,21,null
"""Big House in SoCo - Perfect for SXSW, ACL, F1!""",4868171,"Bill",null,78704,30.24472,-97.74395,"Entire home/apt",495,3,9,"2018-05-28",0.11,1,228,0,null
"\"5 minutes from everything Austin...\" -Super comfy",4882441,"Valentina",null,78704,30.26227,-97.76355,"Entire home/apt",157,3,44,"2021-09-19",1.01,2,26,5,null
"SXSW Chic cozy pad",4886183,"Salvador",null,78705,30.30073,-97.74285,"Private room",375,1,0,null,null,1,362,0,null
"Eastside Zenpalace",4912454,"Ishrat",null,78702,30.26582,-97.71609,"Entire home/apt",300,2,11,"2019-09-09",0.11,2,89,0,null
"2br E Austin home in heart of SXSW!",1752578,"Kerstin",null,78702,30.25526,-97.73167,"Entire home/apt",425,3,2,"2013-03-14",0.02,1,0,0,null
"Beautiful mid-century modern home in Wooten park",4918228,"Kevin",null,78757,30.3614,-97.71967,"Entire home/apt",84,2,116,"2021-10-04",3.68,1,25,40,null
"The Railyard Oasis Located Downtown",4929310,"Ryan",null,78701,30.26584,-97.73999,"Entire home/apt",265,1,240,"2021-09-12",9.51,28,269,20,null
"Bouldin Cottage walk to Downtown",531267,"Shelley",null,78704,30.25455,-97.75679,"Entire home/apt",120,30,4,"2015-11-02",0.04,3,318,0,null
"Heart of Austin /Mins from SOCO/ZILKER/Downtown",4094761,"Laura",null,78704,30.23656,-97.77935,"Entire home/apt",159,1,297,"2021-10-10",6.69,2,321,61,null
"""New Resort Style Pool, Gym, Wifi !""",4933902,"Lauren & Andrew",null,78753,30.39562,-97.66868,"Private room",164,1,0,null,null,1,364,0,null
"SXSW Housing!",4981882,"Jim",null,78753,30.37784,-97.68606,"Entire home/apt",400,1,0,null,null,1,364,0,null
"Luxury Hill Country Condo Awaits...",3175045,"Ryan",null,78749,30.22547,-97.86482,"Private room",5021,3,2,"2013-03-14",0.03,1,0,0,null
"The LakeHouse on Lake Austin",412711,"Niles",null,78746,30.34422,-97.79106,"Entire home/apt",1300,30,60,"2021-01-02",0.61,1,0,3,null
"SXSW CLOSE TO DOWNTOWN!!!",5004628,"Lauren",null,78703,30.27617,-97.76189,"Entire home/apt",800,5,0,null,null,1,0,0,null
"""Luxury Condo, City Skyline, SXSW""",3758683,"Ken",null,78702,30.25354,-97.73406,"Entire home/apt",250,4,21,"2019-10-14",0.25,1,0,0,null
"Cozy Artist Condo in the Heart of South Lamar",5008436,"Susie",null,78704,30.23581,-97.78312,"Private room",77,2,10,"2021-01-31",0.1,1,287,2,null
"Quiet and Convenient for SXSW",3084105,"Terry",null,78704,30.24605,-97.74351,"Entire home/apt",300,2,6,"2015-03-22",0.06,1,0,0,null
"Central Austin Luxury Guest House",1335409,"Eric",null,78703,30.27887,-97.75649,"Entire home/apt",249,2,55,"2021-09-14",0.73,1,19,6,null
"Full house near South Congress!",1977547,"Katherine",null,78704,30.24285,-97.7388,"Entire home/apt",650,3,6,"2018-05-26",0.25,1,298,0,null
"Chic Hyde Park Casita",5037631,"Mark & Monica",null,78751,30.3019,-97.72821,"Entire home/apt",120,2,107,"2020-03-11",1.02,1,286,0,null
"Big bright room in Old West Austin/Clarksville",5041228,"Andrea",null,78701,30.27438,-97.74925,"Private room",148,2,3,"2017-03-13",0.03,1,0,0,null
"""Near Apple, Dell, ebay w/breakfast""",2121044,"J",null,78729,30.45601,-97.7552,"Private room",74,2,41,"2017-09-04",0.48,1,348,0,null
"""LOCATION! 3/2 with King, Queen, Twin,  W/D, Garage""",5059228,"Haley And Raul",null,78741,30.24509,-97.73328,"Entire home/apt",268,30,93,"2021-08-07",0.89,3,165,5,null
"""Modern Studio Cottage, Monthly Rental""",336136,"Michael",null,78751,30.32034,-97.72185,"Entire home/apt",165,90,54,"2020-03-28",0.64,1,299,0,null
"1300 sq ft Villa near Downtown",5097393,"Jonas",null,78745,30.19679,-97.80862,"Entire home/apt",500,4,0,null,null,1,0,0,null
"Clarksville Guest House - Downtown",3536176,"David",null,78703,30.27889,-97.76001,"Entire home/apt",1000,1,7,"2019-03-14",0.08,1,361,0,null
"Enjoy SXSW and ACL in quiet comfort",5099514,"Puru",null,78753,30.38216,-97.67033,"Entire home/apt",225,3,1,"2013-07-31",0.01,1,166,0,null
"Sanitized UT Downtown Pristine Condo w/VIEWS",1343838,"Guadalupe",null,78705,30.29738,-97.73494,"Entire home/apt",90,30,188,"2021-09-20",6.2,1,100,9,null
"""Downtwn: Convention Ctr, SXSW, Free Parking""",5104710,"Mark",null,78701,30.26528,-97.74062,"Entire home/apt",200,1,425,"2019-09-29",4.37,1,74,0,null
"Feels Like Home",5105777,"Angie & Kurt",null,78702,30.26679,-97.72173,"Entire home/apt",700,4,0,null,null,1,0,0,null
"""Close to Downtown for ACL, F1 or SX""",5122558,"Scott",null,78746,30.28175,-97.79756,"Entire home/apt",900,5,0,null,null,1,0,0,null
"Upper East Side SXSW Retreat",5130794,"Rob",null,78723,30.31371,-97.69227,"Entire home/apt",399,5,0,null,null,1,0,0,null
"South Austin Charmer 10mins dwntwn",4437388,"Stacey",null,78745,30.20196,-97.79572,"Entire home/apt",139,30,40,"2020-02-17",1.23,3,88,0,null
"East DT Austin home for SXSW!!",5134988,"Ben",null,78702,30.25977,-97.69713,"Private room",250,3,0,null,null,1,0,0,null
"""Vintage Airstream in East Austin, Texas""",5152543,"Marcella",null,78723,30.29792,-97.67919,"Entire home/apt",79,1,953,"2021-09-28",12.68,2,316,127,null
"Downtown Austin Texas Condo",1648173,"Kristen",null,78701,30.27986,-97.74536,"Entire home/apt",106,1,849,"2021-09-29",17.82,1,315,105,null
"Bright E 6th St Downtown Loft",5173278,"Luis",null,78702,30.25981,-97.7185,"Entire home/apt",114,1,78,"2020-02-28",0.76,1,0,0,null
"Tiny House- Best central location!",5181843,"Amy",null,78704,30.2441,-97.73885,"Entire home/apt",136,2,221,"2021-09-06",3.28,1,220,19,null
"Downtown Austin Spacious Private  Backyard Remodel",5192335,"Belinda",null,78741,30.21833,-97.72652,"Entire home/apt",307,2,137,"2021-10-11",1.48,1,304,12,null
"Apartment in the trees/ Hyde Park",5176737,"Erika",null,78751,30.30958,-97.72947,"Entire home/apt",75,60,11,"2019-10-26",0.11,1,164,0,null
"Greenbelt Haven",5202192,"Michele",null,78704,30.25923,-97.78026,"Entire home/apt",1000,3,10,"2021-10-11",0.32,1,33,2,null
"Entire 2nd Floor of Home for 4 ppl",5206723,"Jeannette",null,78746,30.3209,-97.83023,"Private room",350,1,0,null,null,1,364,0,null
"Artist’s  East Side Studio",3828170,"Donna",null,78702,30.25462,-97.72175,"Entire home/apt",88,28,216,"2019-07-22",3.87,2,75,0,null
"Gorgeous Guest House in Zilker",5220633,"Esteban",null,78704,30.2577,-97.77216,"Entire home/apt",101,2,163,"2021-10-11",1.93,2,286,14,null
"""Modern, Spacious Zilker apartment""",5215945,"John And Melissa",null,78704,30.25473,-97.76774,"Entire home/apt",157,5,162,"2021-10-11",1.72,1,297,6,null
"Beautiful 5 room hardwood home!",4717260,"Tony",null,78752,30.32398,-97.7161,"Entire home/apt",371,2,177,"2021-09-18",1.73,1,350,19,null
"Sunny Room in Central East Austin",4845892,"Willard",null,78702,30.27298,-97.71074,"Private room",49,2,9,"2016-10-09",0.14,1,0,0,null
"Historical Loft with Capitol View!!",3389824,"Raquel + Jacob",null,78701,30.26977,-97.74297,"Entire home/apt",184,1,405,"2021-10-10",10.31,1,0,6,null
"CampEZ-8 in SxSAustin TX",1568741,"Jim O'",null,78745,30.20901,-97.76891,"Entire home/apt",18,3,19,"2021-10-04",12.39,12,362,6,null
"HOT East Downtown House - Walk to Rainey St & Lake",5289039,"Christina",null,78702,30.25091,-97.72438,"Entire home/apt",256,3,22,"2021-10-11",0.24,1,0,4,null
"The Forest Retreat",169512,"Charlotte",null,78704,30.24467,-97.73792,"Entire home/apt",165,3,32,"2019-12-08",0.49,3,203,0,null
"Charming 3/2 in the Heart of Austin",5323769,"Kendel",null,78704,30.24465,-97.74323,"Entire home/apt",116,30,6,"2017-11-03",0.2,1,255,0,null
"Ultimate Distancing in a Treehouse - Huge Yard!",997756,"Christina",null,78704,30.25659,-97.75431,"Entire home/apt",260,30,2,"2021-06-20",0.27,1,0,2,null
"Entire Guest Suite in SoCo w/ private entry",266202,"Arif",null,78704,30.24414,-97.74839,"Entire home/apt",96,4,83,"2021-10-11",0.89,1,0,26,null
"Private Studio in Modern Crash Pad",4725234,"Roman",null,78702,30.25344,-97.72421,"Entire home/apt",96,2,476,"2021-10-09",7.77,2,63,65,null
"Hyde Park Treehouse Apartment",5350399,"Chris",null,78705,30.2989,-97.73169,"Entire home/apt",115,3,2,"2019-03-19",0.11,2,358,0,null
"Private Bedroom for SXSW",5352009,"Daniel",null,78722,30.28573,-97.72013,"Private room",200,1,1,"2013-03-12",0.01,1,0,0,null
"Furnished Modern Home Soco SXSW",5356163,"Benjamin",null,78704,30.23074,-97.76497,"Private room",260,5,3,"2014-10-14",0.03,2,286,0,null
"SXSW Hi-Rise Apartment!!!!",4255546,"Matt",null,78705,30.28408,-97.74417,"Private room",350,1,0,null,null,1,0,0,null
"East Austin Private Bedroom with Shared Bathroom",1726785,"Sid",null,78702,30.27498,-97.704,"Private room",77,30,25,"2021-10-06",0.28,4,286,8,null
"2/1 House in East Austin.",5414607,"Jan (Johnny)",null,78702,30.259,-97.72237,"Entire home/apt",239,1,23,"2021-10-11",0.25,1,333,15,null
"Carbon Neutral Oasis in Austin",5473957,"Susanna",null,78704,30.25084,-97.75562,"Private room",96,2,200,"2020-03-01",2.37,1,55,0,null
"Fantastic Apartment - Right in the Heart of SoCo",6386445,"Nan",null,78704,30.24689,-97.75171,"Entire home/apt",116,3,297,"2021-10-12",3.56,2,57,28,null
"Mid-Century Modern Revivalist Cottage",5467931,"Jennifer",null,78757,30.33664,-97.72655,"Entire home/apt",300,2,73,"2021-09-19",2.99,1,1,18,null
"Blue Room Downtown Mansion",5641001,"Blair",null,78701,30.27245,-97.74884,"Private room",149,3,89,"2020-03-10",1.48,1,0,0,null
"Tiny Zen Cabin : Sanitized to CDC standards",4635658,"Tracy",null,78705,30.30223,-97.74066,"Entire home/apt",56,2,642,"2021-10-13",16.7,1,0,10,null
"Central | Private Pool | 5 bed/4 bath house.",5694515,"Suzanne",null,78704,30.26228,-97.77892,"Entire home/apt",1286,2,17,"2021-07-18",0.36,1,8,5,null
"SXSW Casita East Austin near Downtown & Airport!",5742468,"Marisse",null,78741,30.22177,-97.72235,"Entire home/apt",220,3,3,"2019-03-13",0.07,1,0,0,null
"""Spacious 3/2 House, 10min to Dwntwn""",422589,"John",null,78752,30.32983,-97.68575,"Entire home/apt",201,2,168,"2021-10-04",2.56,1,168,22,null
"Room available in Gorgeous Condo",1822421,"Sandra",null,78741,30.24392,-97.72322,"Private room",519,360,0,null,null,1,365,0,null
"Immaculate suite 10 minutes to downtown Austin",6090278,"Tim",null,78723,30.30474,-97.69467,"Private room",200,1,204,"2021-07-31",2.01,2,361,2,null
"""Spacious, Contemporary, Comfy Home""",5920345,"Anique",null,78748,30.15579,-97.8045,"Entire home/apt",549,2,88,"2021-10-03",2.27,1,305,17,null
"Welcoming Austin Home with Tons of Outdoor Space",6182474,"Ashley",null,78704,30.24554,-97.75536,"Entire home/apt",410,3,227,"2021-10-04",2.35,2,298,26,null
"Tiny Retreat ATX",592087,"Daniel",null,78702,30.26441,-97.71525,"Entire home/apt",120,90,0,null,null,1,271,0,null
"SXSW Craftsman Cottage",6229799,"Yoav",null,78702,30.25741,-97.73223,"Entire home/apt",1450,4,5,"2021-06-28",0.09,1,207,1,null
"Casa de Desai Large Master Suite!",1726785,"Sid",null,78702,30.275,-97.70403,"Private room",45,30,21,"2021-03-27",0.23,4,317,4,null
"Entire home/apt in Austin for SXSW",6109200,"Adeola",null,78705,30.29418,-97.7348,"Entire home/apt",240,1,0,null,null,1,0,0,null
"Sophisticated East Austin Townhome Steps From Rainey Street",802614,"Amit",null,78702,30.25548,-97.73635,"Entire home/apt",464,2,272,"2021-10-11",4.87,4,335,42,null
"The Convention Center's Grand Loft",4929310,"Ryan",null,78701,30.26429,-97.74138,"Entire home/apt",362,1,170,"2021-09-28",1.76,28,238,24,null
"The Cosmo at the Convention Center",4929310,"Ryan",null,78701,30.26632,-97.74129,"Entire home/apt",609,1,162,"2021-08-29",1.77,28,335,19,null
"Downtown Poolside Getaway On 4th St",4929310,"Ryan",null,78701,30.26492,-97.74243,"Entire home/apt",199,1,169,"2021-09-26",2.22,28,303,17,null
"Duplex set up as a Corporate Suite",5766765,"Holly",null,78704,30.25592,-97.75639,"Entire home/apt",75,30,29,"2021-06-19",0.69,2,279,5,null
"Designer \"Treehouse\" Retreat",6469089,"Jeff",null,78731,30.32702,-97.76043,"Entire home/apt",105,30,157,"2021-07-26",1.72,1,32,6,null
"Stunning ensuite in East downtown Austin!",1927941,"Nicky",null,78702,30.27677,-97.7183,"Private room",210,3,152,"2021-10-09",45.15,3,7,10,null
"""PERFECT FOR ACL  3 bedroom, 2 bath, 2 living rooms""",6458257,"Marty",null,78745,30.21723,-97.79961,"Entire home/apt",250,2,0,null,null,1,0,0,null
"Upscale Minutes From Downtown/UT",6590859,"Susan",null,78722,30.2914,-97.71403,"Private room",100,1,98,"2019-11-04",1.05,1,0,0,null
"East Downtown Bungalow - Open and Spacious with Private Yard",2436512,"Crystal",null,78702,30.25766,-97.72323,"Entire home/apt",264,1,498,"2021-10-04",5.91,6,252,47,null
"Harmony House - Central Austin",582827,"Troy",null,78731,30.32006,-97.75067,"Entire home/apt",300,30,9,"2017-10-09",0.09,2,173,0,null
"Private Above Garage Apt in Central Austin!",5446383,"Chris",null,78756,30.31338,-97.7384,"Entire home/apt",126,2,283,"2021-09-25",5.07,1,250,25,null
"Trendy Travis Heights Flat",427519,"Anne",null,78704,30.24357,-97.74217,"Entire home/apt",111,1,516,"2021-10-08",14.19,1,60,65,null
"Lovely ensuite in East downtown Austin!",1927941,"Nicky",null,78702,30.27879,-97.71672,"Private room",57,3,42,"2021-09-30",0.75,3,23,8,null
"Private Craftsman Cottage in East Downtown",2436512,"Crystal",null,78702,30.25635,-97.72405,"Entire home/apt",132,1,624,"2021-10-02",9.13,6,272,53,null
"The Graeber by Lodgewell>>6th Street + Pool = OMG!",5722891,"Lodgewell",null,78701,30.2682,-97.73773,"Entire home/apt",1026,1,66,"2021-08-22",0.94,1,153,7,null
"Vacation Home w/ Whole Home Air Cleaner & Jacuzzi",4035731,"Matt & Amy",null,78723,30.29379,-97.68572,"Entire home/apt",128,30,8,"2020-02-04",0.1,2,206,0,null
"SunnyPrivate Spacious Flat wParking",1742462,"Jacob",null,78702,30.2525,-97.71672,"Entire home/apt",175,30,145,"2021-09-22",1.68,1,0,2,null
"Private room in ATX",7090261,"Brendan",null,78741,30.2281,-97.72656,"Private room",234,1,0,null,null,1,0,0,null
"Spacious  Sunny Garden Oasis",739362,"Barbara",null,78757,30.33974,-97.74574,"Private room",70,3,190,"2019-12-15",2.25,6,0,0,null
"The Best of Austin Right Outside of Your Door.",7281438,"Lawrence",null,78704,30.25974,-97.75369,"Entire home/apt",126,30,154,"2021-08-02",1.98,2,205,5,null
"West Lake Hills Retreat Near Downtown",7284062,"Anita",null,78746,30.31498,-97.80123,"Entire home/apt",775,3,64,"2021-08-01",2.04,1,175,5,null
"""WOW Nirvana - Hot Tub, Bars, Brewery, Grocery""",1739801,"Terry",null,78702,30.25956,-97.71488,"Entire home/apt",479,1,285,"2021-09-20",2.9,5,338,64,null
"""4BR Hill Country Home SXSW, ACL, F1""",7323557,"Katie",null,78735,30.25285,-97.83055,"Entire home/apt",499,30,47,"2021-08-13",3.02,1,196,1,null
"CHA CHA CHA!",739362,"Barbara",null,78757,30.33892,-97.74536,"Entire home/apt",450,3,165,"2021-10-11",2.43,6,270,31,null
"Large Master Bedroom Suite!",207976,"Mark",null,78741,30.21971,-97.72651,"Private room",95,3,28,"2019-03-17",0.42,1,247,0,null
"""2/1, private, palms and cacti""",7547072,"Kathleen",null,78704,30.24813,-97.79337,"Entire home/apt",200,2,11,"2021-10-11",0.35,1,357,2,null
"!!Central Austin - 10 Mins to Downtown - sleeps 6+",7567467,"Chalu",null,78752,30.32674,-97.68213,"Entire home/apt",228,2,268,"2021-09-05",6.13,10,14,16,null
"█ Single Malt Manor | Downtown Austin",814883,"Kristen",null,78702,30.26602,-97.73134,"Entire home/apt",811,2,241,"2021-09-21",2.94,12,279,29,null
"Swanky townhouse in heart of it all",7737534,"Mario",null,78702,30.26468,-97.72985,"Entire home/apt",120,2,86,"2018-10-28",0.95,1,1,0,null
"Tarrytown Colonial Farmhouse with Resort Pool",6932708,"Blake",null,78703,30.29012,-97.7623,"Entire home/apt",1500,3,1,"2021-07-31",0.39,2,319,1,null
"Casita Verde - Long Term Rental - Minimum 3 Months",7764443,"Joyce",null,78704,30.24216,-97.75549,"Entire home/apt",133,30,0,null,null,2,101,0,null
"Spacious Hyde Park Guest House",578211,"Pete",null,78751,30.30247,-97.72771,"Entire home/apt",129,20,58,"2021-10-06",0.6,9,333,11,null
"Stay and Enjoy The Austin Texas House South Congress",740347,"Chris",null,78704,30.24668,-97.75618,"Entire home/apt",153,1,929,"2021-10-05",13.68,1,289,95,null
"Cozy Allendale Apartment Hideaway",7838294,"Sara",null,78757,30.34042,-97.7463,"Entire home/apt",91,2,146,"2021-10-11",1.58,1,278,4,null
"Private and Sunny Zilker Cottage",7857883,"Steve",null,78704,30.25039,-97.77751,"Entire home/apt",118,2,287,"2020-03-12",3.33,1,17,0,null
"Cenote Studio right downtown",8014187,"Shannon",null,78702,30.26035,-97.7348,"Entire home/apt",120,1,443,"2021-09-25",8.73,2,324,44,null
"Light-filled Loft near SoCo for Multi-Month lease",8026447,"Peter",null,78704,30.22784,-97.76439,"Entire home/apt",79,30,7,"2021-04-29",0.11,1,210,3,null
"Guest House Manor Rd Austin SXSW",8054740,"Christopher",null,78722,30.28602,-97.71552,"Entire home/apt",149,2,132,"2020-09-20",1.65,1,0,0,null
"SXSW - AMAZING LOCATION",8221829,"Dan",null,78704,30.25518,-97.76426,"Private room",500,1,0,null,null,1,365,0,null
"!Private Room(s)- 10 mins to Downtown Austin",7567467,"Chalu",null,78752,30.32674,-97.68213,"Private room",59,1,241,"2021-10-07",8.95,10,1,5,null
"eastside charm by the lake",5648290,"Mike",null,78702,30.25144,-97.71486,"Entire home/apt",285,1,3,"2017-10-22",0.05,1,0,0,null
"The Argyle Suite/Loft on 4th Street",4929310,"Ryan",null,78701,30.26491,-97.74074,"Entire home/apt",193,1,197,"2021-09-27",2.04,28,293,16,null
"PERFECT SXSW 2/2 HOME! WALK TO MOST EVENTS!",8368983,"Albert & Meg",null,78702,30.25561,-97.73486,"Entire home/apt",314,3,34,"2021-06-27",0.37,1,125,11,null
"Private room with private bath kitc",8223285,"Ronald",null,78748,30.18933,-97.82398,"Private room",115,1,0,null,null,1,0,0,null
"""Cozy, bright lofted studio""",8384474,"Erin",null,78702,30.28019,-97.71366,"Entire home/apt",105,2,298,"2021-09-05",37.88,1,0,25,null
"SXSW DEAL Rustic Downtown Cottage",8395205,"Andrew",null,78702,30.27519,-97.72981,"Entire home/apt",425,1,1,"2014-03-12",0.01,1,362,0,null
"Recharge at Casa Moderna Filled with Natural Light",8402421,"Andy",null,78702,30.28054,-97.71015,"Entire home/apt",230,3,200,"2021-09-27",2.73,11,62,44,null
"Cute Studio Near SXSW",6591320,"Mary-Margaret",null,78704,30.23853,-97.78621,"Entire home/apt",175,1,0,null,null,1,0,0,null
"""Swim, Sun and Relax in this Bali-inspired Artist's Loft House in Austin""",3264154,"Sharon",null,78745,30.22557,-97.8078,"Entire home/apt",333,28,71,"2020-11-30",0.86,2,68,1,null
"""Modern 3-Story, Pool, Garden Living""",8289500,"Desirae",null,78704,30.24713,-97.76286,"Entire home/apt",425,3,65,"2020-12-02",0.67,1,157,1,null
"South Lamar Zilker Cottage",8495321,"Rebecca",null,78704,30.24884,-97.77593,"Entire home/apt",99,3,229,"2021-10-11",2.5,1,172,23,null
"Little Longhorn - Walk to UT/Bass Hall/ St. Davids",5138696,"Jodi",null,78705,30.28761,-97.72626,"Entire home/apt",166,10,23,"2021-08-21",0.48,1,334,3,null
"Relax by the Pool & Spa at This Fun SoCo Oasis with Casita",172182,"Brian & Leah",null,78704,30.23835,-97.75557,"Entire home/apt",563,1,221,"2021-10-01",2.3,3,48,24,null
"Just listed for SXSW!",5453757,"Fran",null,78704,30.25177,-97.76923,"Entire home/apt",1100,3,0,null,null,1,362,0,null
"Modern 2BR in Historic Hyde Park",578211,"Pete",null,78751,30.30285,-97.7278,"Entire home/apt",165,20,74,"2021-08-14",1.01,9,233,7,null
"South Congress Dream House",8584307,"Nellie",null,78704,30.25246,-97.74848,"Entire home/apt",236,2,34,"2021-09-24",0.42,1,340,13,null
